filename,width,height,class,xmin,ymin,xmax,ymax
7ecb4521-70ac-4f49-ab74-2678cc4eab2a___RS_Erly-B-7690_JPG.rf.c29ca168759579a6ae09e078d327a124.jpg,256,256,early_blight,19,6,228,235
ef6e3d9d-502b-46c1-9f21-c32b54d2cb7a___Com-G_SpM_FL-9391_JPG.rf.c2ba518f40550d78641d505f1f658876.jpg,256,256,spider_mites,25,19,196,217
d521cf62-367f-4417-a055-85570185d1da___UF-GRC_YLCV_Lab-02425_JPG.rf.c2c4ec01d6d3359de2dc3c076fe38af2.jpg,256,256,yellow_leaf_curl_virus,30,16,235,243
ffe08ccc-c55e-4ca2-9234-2906b98b8d05___YLCV_NREC-2879_JPG.rf.c2eb1a5cb84c39bbdca0678877d048b4.jpg,256,256,yellow_leaf_curl_virus,26,10,244,239
df86b9f1-3871-4139-be7d-928bd3e6d642___RS_Erly-B-7497_JPG.rf.c2fe1aaae5fed350268f694eb752485f.jpg,256,256,early_blight,48,19,207,247
Tomato___Leaf_Mold_original_770f7e1c-99a6-4441-9281-015935d290ef___Crnl_L-Mold-6937-JPG_e523890e-0606-4466-97eb-be6be6a1e0b0_JPG.rf.c30de8f1ea1ccc148aa9f2c866f4c4a4.jpg,256,256,leaf_mold,64,17,217,207
f2f807a2-8777-4a1f-a33b-d1826d9d36c8___GCREC_Bact-Sp-3786_JPG.rf.c338866e624540f54ae7b3ea950c89c2.jpg,256,256,bacterial_spot,30,10,228,240
Tomato___Tomato_mosaic_virus_original_efc00b83-9c44-48f5-b6ff-3acc4f5b0875___PSU_CG-2345-JPG_f3150374-bb82-438b-a1a9-c9cf307f7906_JPG.rf.c36c2f3125dd4b6944c5084fa95cf435.jpg,256,256,mosaic_virus,38,28,213,197
Tomato___Early_blight_original_dc29e8de-633c-472e-8e12-c1a032437d1e___RS_Erly-B-8447-JPG_e9dbd545-7461-4741-a877-36ccc78b3cbd_JPG.rf.c38afe65e1d2d80d3f6b1df5f9cd2e0b.jpg,256,256,early_blight,16,0,247,243
f7a198ea-1064-41ab-be9c-f0bab081a128___Crnl_L-Mold-6918_JPG.rf.c41556fc66496a85540283035918d1a0.jpg,256,256,leaf_mold,8,42,204,205
e2863dd0-5964-4cad-9119-ae4b73aba144___Matt-S_CG-7712_JPG.rf.c48944dbc7c557b142ba5e6f0a930060.jpg,256,256,septoria_leaf_spot,7,5,236,200
f17ad011-c811-4d77-9010-fa5887f68e58___YLCV_NREC-2265_JPG.rf.c4bcadb6517c72d3f692cee998c737e6.jpg,256,256,yellow_leaf_curl_virus,29,18,186,200
f17ad011-c811-4d77-9010-fa5887f68e58___YLCV_NREC-2265_JPG.rf.c4bcadb6517c72d3f692cee998c737e6.jpg,256,256,yellow_leaf_curl_virus,110,171,228,235
c1f3a153-7738-4cdc-a8a2-003e7221001a___GHLB2-Leaf-9013_JPG.rf.c4e9fbafa62998828517172cafa56c20.jpg,256,256,late_blight,36,68,186,228
55850b6e-cb67-4bb9-bdd7-ae36cd05a5e1___Com-G_TgS_FL-1000_JPG.rf.c4f9d66b5e83cf684968e47299720112.jpg,256,256,target_spot,26,0,228,241
613ecdcf-3895-498b-b095-76eab9dacb58___Com-G_TgS_FL-0698_JPG.rf.c5184b56f76880c5cbb8fe6e01517120.jpg,256,256,target_spot,21,1,221,248
5508caf4-aea1-4792-a6e8-534788edaa7e___Com-G_TgS_FL-9946_JPG.rf.c4a48e6cad8ad06101d25016b91e8714.jpg,256,256,target_spot,30,15,233,235
c8bfa39f-b92f-4c10-98e6-ff3600445c24___UF-GRC_BS_Lab-Leaf-8759_JPG.rf.c6284c2d387253e99f64f44823643720.jpg,256,256,bacterial_spot,11,10,236,233
e4f68173-6553-492a-a810-77e2081c314e___JR_Sept-L-S-2658_JPG.rf.c52a6c46ec6245628f834482dc1bfc05.jpg,256,256,septoria_leaf_spot,26,5,235,244
f2fecaa6-8c39-4163-be6f-ecd456c7b74d___Com-G_SpM_FL-1197_JPG.rf.c60821fb66cd8246864bafdf923ccfa5.jpg,256,256,spider_mites,50,9,178,224
fbf0341c-ace6-4974-9058-6da14dbf0aaf___UF-GRC_YLCV_Lab-02910_JPG.rf.c50cc67747c195d5e75469f33812bf5b.jpg,256,256,yellow_leaf_curl_virus,20,13,205,222
b1bbc0cc-730b-4154-85df-4e1de49f19f9___RS_HL-0384_JPG.rf.c530fb078d161910275c5c25695f12b7.jpg,256,256,healthy,34,14,245,238
61237cd7-ac87-4720-90ed-299e39f520e1___RS_Late-B-5005_JPG.rf.c5db33a55aa1676ecfa2058caf5a5014.jpg,256,256,late_blight,13,6,237,248
db4241a0-d3ee-44c8-aebb-ba1783e47609___RS_Erly-B-7547_JPG.rf.c520400be06384e47ff1e53b7d08d65b.jpg,256,256,early_blight,19,4,237,241
05598cc1-60b9-4436-a233-973c42eff2d6___GH_HL-Leaf-503-1_JPG.rf.c655ff94cf89f17b56dd7ffa0723c844.jpg,256,256,healthy,48,28,207,225
bfba7874-d314-4594-8abe-ba74da25c523___Keller-St_CG-1983_JPG.rf.c63796ec7b7dc9aa49a849e89ed236c1.jpg,256,256,septoria_leaf_spot,9,15,185,239
c57464ef-c813-4ee5-90db-2b196b996d57___GHLB2-Leaf-154-3_JPG.rf.c6ed5893ab962057a424244119521438.jpg,256,256,late_blight,62,41,177,247
c4a30e2a-f520-4cdc-a58d-7ea1eb7c22e6___GH_HL-Leaf-454_JPG.rf.c6690219755d8b012a6023b66cabd221.jpg,256,256,healthy,29,10,232,233
aae679f7-4b9b-400a-8d5d-02f1c5f7a050___GHLB2-Leaf-8669_JPG.rf.c6eb73182406898b85d857f5c85ca97e.jpg,256,256,late_blight,34,34,193,201
75128610-8633-4000-8f74-17b6cff222d7___RS_Erly-B-6341_JPG.rf.c77119d77b33e78b6e7f62ea770d128e.jpg,256,256,early_blight,9,4,254,240
f285de60-b746-43c9-8891-133dce784b44___Keller-St_CG-1788_JPG.rf.c79fdf925a8c4d86c7a42e3fc7ac97e9.jpg,256,256,septoria_leaf_spot,44,30,240,215
23726cb5-c36a-4016-aa3b-e60e32a0d9ec___RS_HL-9717_JPG.rf.c890376f7f2ce83defcd3fa5bb13852a.jpg,256,256,healthy,41,3,218,243
Tomato___Leaf_Mold_original_201ada31-7b91-42c1-a245-4d37df0b2c52___Crnl_L-Mold-8742-JPG_4175e979-5b81-4e32-aa06-6d1323355bba_JPG.rf.c713ccc31f76bef5daf79272e1db8565.jpg,256,256,leaf_mold,38,24,246,189
f7e3ba41-b93f-4251-81b6-25732542863b___YLCV_GCREC-2473_JPG.rf.c8f44eff340c8d933da7738673731819.jpg,256,256,yellow_leaf_curl_virus,14,3,244,229
f7d235fa-e0ef-4475-88d2-3bfa79f1ab6f___RS_Late-B-7059_JPG.rf.c8038c278a897ff200ae4ccf7ea38e47.jpg,256,256,late_blight,22,12,226,186
c045a7cf-d267-4a35-ba73-4441c220072f___Com-G_SpM_FL-8762_JPG.rf.c6d156aaeb739b9a825308f9196ef2a5.jpg,256,256,spider_mites,26,23,240,242
fcf78048-c241-4211-b63c-737d5d9f24b9___Keller-St_CG-1774_JPG.rf.c7369c4c9a82970f8118a04cd21e9098.jpg,256,256,septoria_leaf_spot,57,26,230,221
